"ID";"w1_q1";"w1_q2";"w1_q3";"w1_q3_txt";"w1_q4x1";"w1_q4x2";"w1_q4x3";"w1_q4x4";"w1_q4x5";"w1_q4x6";"w1_q4x7";"w1_q4x8";"w1_q5x1";"w1_q5x2";"w1_q5x3";"w1_q5x4";"w1_q17x1";"w1_q17x2";"w1_q17x3";"w1_q17x4";"w1_q17x5";"w1_q17x6";"w1_q18x1";"w1_q18x2";"w1_q18x3";"w1_q18x4";"w1_q18x5";"w1_q18x6";"w1_q19";"w1_q20";"w1_q21";"w1_q52x1";"w1_q52x2";"w1_q52x3";"w1_q52x4";"w1_q52x5";"w1_q53x1";"w1_q53x2";"w1_q53x3";"w1_q53x4";"w1_q53x5";"w1_q56";"w1_q64";"w1_q73";"w1_q74";"w3_q1";"w3_q2";"w3_q3";"w3_q4";"w3_q5";"w3_q6";"w3_q7";"w3_q8";"w3_q9x1";"w3_q9x2";"w3_q9x3";"w3_q9x4";"w3_q9x5";"w3_q9x6";"w3_q9x6_txt";"w3_q9x7";"w3_q10";"w3_q11";"w3_q12";"w3_q13";"w3_q14";"w3_q15";"w3_q16";"w3_q17";"w3_q18";"w3_q19";"w3_q20";"w3_q21";"w3_q22";"w3_q23";"w3_q24";"w3_q25";"w3_q31";"w3_q32";"w3_q35";"w3_q36";"PE_w3_pe_emissions";"PE_w3_pe_timer_submit";"PE_w3_pe_click_count";"PE_w3_pe_change";"PE_w3_q59";"PE_w3_q60";"PE_w3_q61"
1310;1993;"male";"matura, vocational school certificate";NA;NA;"employed, in the private sector";NA;NA;"in training (school, university, apprenticeship)";NA;NA;NA;NA;"part time";NA;"part time";3;NA;NA;NA;1.4;NA;NA;NA;NA;NA;NA;"i do not have a fixed place of work";"3 days";NA;"no, i do not have the possibility to work at home";"disagree";"agree";"neither agree nor disagree";"agree";"neither agree nor disagree";"agree";"agree";"agree";"disagree";"agree";"4";"good";"2001 to 4000 chf";"2001 to 4000 chf";"no";NA;NA;NA;NA;NA;"4 days per week";6;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;19;NA;"no";"somewhat worried";"5";"4";"5";3.88;94.81;27;"emissions have changed";"yes";"3";"5"
1311;1973;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;33;NA;32;35;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"agree";"agree";"neither agree nor disagree";"disagree";"agree";"9";"very good";"4001 to 6000 chf";"4001 to 6000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"8000";12000;"1 day per week";30;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;4;2;"several times a week";250;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";4;140;"heating oil";"no";"very worried";"6";"6";"5";54.75;100.16;15;"emissions have changed";NA;"8";"7"
1314;1958;"male";"university / eth";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"agree";"agree";"agree";"agree";"strongly agree";"disagree";"strongly agree";"agree";"strongly agree";"3";"very good";"4001 to 6000 chf";"6001 to 8000 chf";"yes";"i am a member of a car-sharing organization (eg mobility)";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;1000;"7 days per week";50;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;2;1;"several times a week";20;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished before 1980 (old)";2;90;"natural gas";"no";"very worried";"7";"7";"4";39.94;93.776;13;"emissions have changed";"yes";"6";"4"
1315;1956;"female";"university of applied sciences, university of education";NA;NA;NA;NA;NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"agree";"agree";"strongly agree";"agree";"agree";"6";"very good";"2001 to 4000 chf";"6001 to 8000 chf";"yes";"someone in my household owns a car that i can use when necessary";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";NA;15000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;1;"several times a week";0;8;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";2;200;"heating oil";"no";"somewhat worried";"6";"5";"7";53.92;626.731;43;"emissions have changed";NA;"6";"3"
1316;1961;"male";"matura, vocational school certificate";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 4 days per week";"neither agree nor disagree";"agree";"neither agree nor disagree";"neither agree nor disagree";"disagree";"neither agree nor disagree";"neither agree nor disagree";"neither agree nor disagree";"disagree strongly";"disagree";"3";"good";"10001 to 12000 chf";"14001 to 16000 chf";"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"18000";15000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;2;0;"rarely";3;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";2;95;"heating pump";"no";"somewhat worried";"6";"5";"4";12.2;92.679;22;"emissions have changed";NA;"6";"4"
1317;1945;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"neither agree nor disagree";"strongly agree";"neither agree nor disagree";"agree";"agree";"strongly agree";"agree";"agree";"agree";"neither agree nor disagree";"4";"very good";"2001 to 4000 chf";"4001 to 6000 chf";"no";NA;NA;NA;NA;NA;"7 days per week";50;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;0;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";2;110;"electricity (ie electric radiator)";"no";"somewhat worried";"6";"6";"4";20.94;55.916;5;"emissions have changed";NA;"5";"5"
1319;1963;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;"employed, self-employed";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;0.02;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;NA;"disagree";"disagree";"disagree";"agree";"agree";"agree";"agree";"disagree";"disagree";"disagree";"7";"good";"6001 to 8000 chf";"10001 to 12000 chf";"yes";"i own a car";"electric motor (solely electric battery powered)";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"54000";8000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"detached house";"built / refurbished since 2010";3;220;"heating pump";"no";"somewhat worried";"6";"4";"4";5.99;147.37;38;"emissions have changed";NA;"3";"7"
1320;1968;"male";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;18;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 4 days per week";"agree";"strongly agree";"agree";"agree";"agree";"agree";"strongly agree";"neither agree nor disagree";"agree";"neither agree nor disagree";"5";"bad";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"6000";6000;"7 days per week";444;"selected";NA;NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";6;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;92;"district heating";"no";"very worried";"4";"7";"3";5.13;117.874;38;"emissions have changed";"no";"3";"4"
1326;1980;"female";"university / eth";NA;NA;NA;NA;"unemployed / seeking employment";NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"disagree";"2";"good";NA;"6001 to 8000 chf";"no";NA;NA;NA;NA;NA;"5 days per week";100;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";4;0;NA;"vegetarian (eg cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished before 1980 (old)";5;100;"heating oil";"no";"very worried";"9";"7";"8";41.55;281.222;38;"emissions have changed";"no";"6";"8"
1327;1958;"male";"matura, vocational school certificate";NA;NA;NA;NA;"unemployed / seeking employment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"disagree";NA;"agree";NA;"strongly agree";"neither agree nor disagree";"agree";"neither agree nor disagree";"neither agree nor disagree";NA;"7";"fair";NA;"under 2000 chf";"yes";"i own a car";"(plug-in) hybrid combinaton of electric motor and petrol or diesel engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"6000";10000;"never";NA;NA;NA;NA;NA;NA;"selected";"Easy Ride";NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";2;130;"heating pump";"no";"somewhat worried";"3";"3";"3";5.86;44.25;3;"no change to emissions";"no";"5";"5"
1328;1961;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3 days";NA;"no, i do not have the possibility to work at home";"agree";"neither agree nor disagree";"agree";"agree";"disagree";"disagree";"disagree";"disagree";"disagree strongly";"agree";"8";"good";"under 2000 chf";"8001 to 10000 chf";"yes";"someone in my household owns a car that i can use when necessary";"petrol (gas) engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";NA;6000;"1 day per week";10;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;0;"daily";20;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"semi-detached house / terraced house";"built / refurbished between 1980 and 2010";2;300;"heating oil";"no";"somewhat worried";"5";"6";"not at all confident 0";65.13;33.812;1;"emissions have changed";NA;"9";"2"
1329;1960;"female";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2 days";NA;"yes, 3 days per week";"agree";"agree";"agree";"agree";"disagree";"agree";"agree";"neither agree nor disagree";"disagree";"disagree";"7";"very good";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i am a member of a car-sharing organization (eg mobility)";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;1000;"3 days per week";30;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";1;2;1;"never";NA;NA;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";2;88;"heating pump";"yes";"somewhat worried";NA;"5";"5";14.86;151.794;12;"emissions have changed";"no";"4";"4"
1330;1955;"male";"university / eth";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 4 days per week";"strongly agree";"agree";"neither agree nor disagree";"agree";"agree";"disagree";"strongly agree";"agree";"agree";"disagree";"3";"good";"6001 to 8000 chf";"12001 to 14000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"4000";8000;"2 days per week";50;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;2;0;"several times a month";20;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";2;210;"heating pump";"no";"somewhat worried";"8";"8";"8";13.38;124.036;25;"emissions have changed";"yes";"2";"3"
1331;1975;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 3 days per week";"strongly agree";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"disagree";"strongly agree";"disagree";NA;"5";"very good";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i own a car";"diesel engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"20000";5000;"1 day per week";8;"selected";NA;NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";2;88;"electricity (ie electric radiator)";"no";"very worried";"8";"8";"8";7.26;223.712;50;"emissions have changed";NA;"4";"4"
1333;1996;"female";"university / eth";NA;NA;NA;NA;NA;"in training (school, university, apprenticeship)";NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;NA;NA;150;2;NA;NA;NA;NA;"1 day";"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";NA;"agree";"agree";"agree";"2";"very good";"under 2000 chf";"6001 to 8000 chf";"yes";"someone in my household owns a car that i can use when necessary";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";NA;15000;"5 days per week";400;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;1;"several times a week";10;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";2;50;"wood or wood pellets";"no";"very worried";"9";"6";"8";15.91;160.134;63;"emissions have changed";NA;"extremely expensive 10";"5"
1334;1943;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"strongly agree";"strongly agree";"strongly agree";"agree";"3";"good";"2001 to 4000 chf";"4001 to 6000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"4000";6000;"1 day per week";15;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";2;120;"heating oil";"no";"very worried";"9";"9";"completely confident 10";26.88;297.661;11;"emissions have changed";NA;"5";"4"
1335;1982;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;70;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 5 days per week";"agree";"strongly agree";"agree";"strongly agree";"agree";"agree";"neither agree nor disagree";"agree";"disagree";"neither agree nor disagree";"5";"fair";"4001 to 6000 chf";"4001 to 6000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"22000";15000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a month";10;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";4;106;"heating pump";"no";"somewhat worried";"8";"8";"8";7.32;313.265;131;"emissions have changed";NA;"2";"6"
1337;1972;"male";"university / eth";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;12;12;NA;2;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;NA;"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"2";"good";"4001 to 6000 chf";"4001 to 6000 chf";"yes";"someone outside my household owns a car that i can use when necessary";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";NA;1000;"7 days per week";200;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;1;"several times a month";50;0;NA;"vegetarian (eg cheese, eggs, fruits, vegetables, nuts, grains)";"no";"semi-detached house / terraced house";"built / refurbished between 1980 and 2010";1;35;"heating oil";"no";"very worried";"7";"7";"7";18.42;116.199;11;"emissions have changed";NA;"not at all expensive 0";"7"
1338;1985;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;NA;"employed, self-employed";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;NA;0.1;NA;NA;NA;NA;NA;NA;NA;"4 days";NA;"no, i do not have the possibility to work at home";"disagree";"agree";"agree";"agree";"agree";"disagree";NA;"neither agree nor disagree";"disagree";"agree";NA;"good";"2001 to 4000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"14000";5000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"daily";5;5;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";4;100;"heating pump";"no";"somewhat worried";"5";"4";"2";5.62;8.356;1;"no change to emissions";"no";"5";"7"
1339;1980;"female";"university of applied sciences, university of education";NA;NA;NA;NA;NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"agree";"disagree strongly";"agree";"disagree";"agree";"neither agree nor disagree";"agree";NA;"agree";"4";"good";"under 2000 chf";NA;"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"2000";8000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";3;210;NA;"no";"somewhat worried";"5";"8";"8";25.98;25.21;6;"no change to emissions";"no";NA;NA
1340;1948;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"strongly agree";"agree";"strongly agree";"agree";NA;"agree";"agree";"strongly agree";"agree";"8";"good";"4001 to 6000 chf";"10001 to 12000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"4000";6000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";3;160;"heating oil";"no";"very worried";"6";"5";NA;35.05;37.999;9;"emissions have changed";NA;"extremely expensive 10";"6"
1342;1958;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"agree";"strongly agree";"strongly agree";"agree";"strongly agree";"4";"bad";"6001 to 8000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"12000";6000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";0;35;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished since 2010";2;140;"heating pump";"yes";"very worried";"7";"4";"completely confident 10";5.3;101.829;15;"emissions have changed";"no";"4";"4"
1343;1973;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;"employed, self-employed";NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;"engaged in voluntary work";NA;NA;"part time";NA;NA;NA;NA;NA;0.05;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 6 days per week";"agree";"agree";"agree";"agree";"agree";"agree";"agree";"disagree";NA;"neither agree nor disagree";NA;"very good";"under 2000 chf";"under 2000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"14000";10000;"1 day per week";20;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;2;0;"several times a month";0;4;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";3;100;"heating pump";"no";"not at all worried";"4";"4";"not at all confident 0";10.93;10.615;1;"no change to emissions";"no";"5";"6"
1344;1972;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 3 days per week";"agree";"strongly agree";"neither agree nor disagree";"agree";"neither agree nor disagree";"agree";"agree";"neither agree nor disagree";"disagree";"neither agree nor disagree";"10 (right)";"good";"8001 to 10000 chf";"above 18000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"14000";15000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";4;2;1;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";6;250;"natural gas";"no";"somewhat worried";"7";"6";"5";56.01;97.021;21;"emissions have changed";NA;"7";"6"
1346;1970;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2 days";NA;"yes, 5 days per week";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"disagree";"agree";"strongly agree";"agree";"disagree strongly";"9";"bad";"6001 to 8000 chf";"8001 to 10000 chf";"yes";"i own a car";"(plug-in) hybrid combinaton of electric motor and petrol or diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"36000";12000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"rarely";20;20;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished since 2010";4;200;"heating pump";"yes";"somewhat worried";"6";"6";"7";8.5;108.22;30;"emissions have changed";NA;"6";"7"
1349;1984;"female";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;45;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3 days";NA;"yes, 2 days per week";"agree";"strongly agree";"strongly agree";"agree";"agree";"agree";"agree";"agree";"agree";"neither agree nor disagree";"6";"very good";"4001 to 6000 chf";"8001 to 10000 chf";"yes";"someone in my household owns a car that i can use when necessary";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";NA;5000;"2 days per week";150;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;1;"daily";15;15;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";5;220;"wood or wood pellets";"no";"very worried";"6";"6";"7";12.85;113.903;31;"emissions have changed";NA;"4";"3"
1350;1958;"male";"university / eth";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"agree";"agree";"neither agree nor disagree";"5";"very good";"4001 to 6000 chf";"8001 to 10000 chf";"yes";"i own a car";"(plug-in) hybrid combinaton of electric motor and petrol or diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"28000";12000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";3;1;2;"several times a week";10;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"semi-detached house / terraced house";"built / refurbished since 2010";2;155;"heating pump";"no";"very worried";"8";"4";"8";24.14;136.605;14;"emissions have changed";NA;"2";"not at all difficult 0"
